NMPG,Ofiarowanie Pańskie,Ofiarowanie Pańskie,,,
NMPŁ,Najświętsza Maryja Panna Łaskawa,Najświętsza Maryja Panna Łaskawa,,,
NMPNP,Niepokalane Poczęcie Najświętszej Maryi Panny,Niepokalane Poczęcie Najświętszej Maryi Panny,,,
NMPOstrobramska,Najświętsza Maryja Panna Ostrobramska Matka Miłosierdzia,Najświętsza Maryja Panna Ostrobramska Matka Miłosierdzia,,,
NMPR,Najświętsza Maryja Panna Różańcowa,Najświętsza Maryja Panna Różańcowa,,,
NMPS,Najświętsza Maryja Panna z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,,,
NMPSz,Najświętsza Maryja Panna z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,,,
NMPŚ,Najświętsza Maryja Panna Śnieżna,Najświętsza Maryja Panna Śnieżna,,,
NMPWW,Najświętsza Maryja Panna Wspomożycielka Wiernych,Najświętsza Maryja Panna Wspomożycielka Wiernych,,,
NMPZ,Najświętsza Maryja Panna Zwycięska,Najświętsza Maryja Panna Zwycięska,,,
Norbert,Norbert,Norbert,,,
NPawła,Nawrócenie Pawła Apostoła,Nawrócenie Pawła Apostoła,,,
NPawła Ap,Nawrócenie Pawła Apostoła,Nawrócenie Pawła Apostoła,,,
NPNMP,Niepokalane Poczęcie Najświętszej Maryi Panny,Niepokalane Poczęcie Najświętszej Maryi Panny,,,
NSalwator,Chrystus Zbawiciel,Chrystus Zbawiciel,,,
NSJ,Serce Jezusa,Serce Jezusa,,,
NSNMP,Serce Najświętszej Maryi Panny,Serce Najświętszej Maryi Panny,,,
NSPJ,Serce Jezusa,Serce Jezusa,,,
NwNMP,Nawiedzenie Najświętszej Maryi Panny,Nawiedzenie Najświętszej Maryi Panny,,,
NZbawiciel,Chrystus Zbawiciel,Chrystus Zbawiciel,,,
Objawienie Pańskie,Objawienie Pańskie,Objawienie Pańskie,,,
ObjNMP,Objawienie Najświętszej Maryi Panny,Objawienie Najświętszej Maryi Panny,,,
ObjPańskie,Objawienie Pańskie,Objawienie Pańskie,,,
OBoża,Opatrzność Boża,Opatrzność Boża,,,
OBoża (Wniebowstąpienie Pańskie),Opatrzność Boża,Opatrzność Boża,,,
OczNMP,Ofiarowanie Pańskie,Ofiarowanie Pańskie,,,
OfNMP,Ofiarowanie Najświętszej Maryi Panny,Ofiarowanie Najświętszej Maryi Panny,,,
